,mae_name,C,gamma,tol,eps,mae
183,SVR_0.0005_0.001_9.999999999999999e-06_100.0,0.0005,0.001,9.999999999999999e-06,100.0,9544311.612733375
184,SVR_0.0005_0.001_9.999999999999999e-05_1e-05,0.0005,0.001,9.999999999999999e-05,1e-05,9544311.612733364
185,SVR_0.0005_0.001_9.999999999999999e-05_0.0001,0.0005,0.001,9.999999999999999e-05,0.0001,9544311.612733364
186,SVR_0.0005_0.001_9.999999999999999e-05_0.001,0.0005,0.001,9.999999999999999e-05,0.001,9544311.612733364
187,SVR_0.0005_0.001_9.999999999999999e-05_0.01,0.0005,0.001,9.999999999999999e-05,0.01,9544311.612733364
188,SVR_0.0005_0.001_9.999999999999999e-05_0.1,0.0005,0.001,9.999999999999999e-05,0.1,9544311.612733364
189,SVR_0.0005_0.001_9.999999999999999e-05_1.0,0.0005,0.001,9.999999999999999e-05,1.0,9544311.612733364
190,SVR_0.0005_0.001_9.999999999999999e-05_10.0,0.0005,0.001,9.999999999999999e-05,10.0,9544311.612733364
191,SVR_0.0005_0.001_9.999999999999999e-05_100.0,0.0005,0.001,9.999999999999999e-05,100.0,9544311.612733375
192,SVR_0.0005_0.001_0.001_1e-05,0.0005,0.001,0.001,1e-05,9544311.612733364
193,SVR_0.0005_0.001_0.001_0.0001,0.0005,0.001,0.001,0.0001,9544311.612733364
194,SVR_0.0005_0.001_0.001_0.001,0.0005,0.001,0.001,0.001,9544311.612733364
195,SVR_0.0005_0.001_0.001_0.01,0.0005,0.001,0.001,0.01,9544311.612733364
196,SVR_0.0005_0.001_0.001_0.1,0.0005,0.001,0.001,0.1,9544311.612733364
197,SVR_0.0005_0.001_0.001_1.0,0.0005,0.001,0.001,1.0,9544311.612733364
198,SVR_0.0005_0.001_0.001_10.0,0.0005,0.001,0.001,10.0,9544311.612733364
199,SVR_0.0005_0.001_0.001_100.0,0.0005,0.001,0.001,100.0,9544311.612733375
200,SVR_0.0005_0.001_0.01_1e-05,0.0005,0.001,0.01,1e-05,9544311.612733364
201,SVR_0.0005_0.001_0.01_0.0001,0.0005,0.001,0.01,0.0001,9544311.612733364
202,SVR_0.0005_0.001_0.01_0.001,0.0005,0.001,0.01,0.001,9544311.612733364
203,SVR_0.0005_0.001_0.01_0.01,0.0005,0.001,0.01,0.01,9544311.612733364
204,SVR_0.0005_0.001_0.01_0.1,0.0005,0.001,0.01,0.1,9544311.612733364
205,SVR_0.0005_0.001_0.01_1.0,0.0005,0.001,0.01,1.0,9544311.612733364
206,SVR_0.0005_0.001_0.01_10.0,0.0005,0.001,0.01,10.0,9544311.612733364
207,SVR_0.0005_0.001_0.01_100.0,0.0005,0.001,0.01,100.0,9544311.612733375
208,SVR_0.0005_0.001_0.1_1e-05,0.0005,0.001,0.1,1e-05,9544311.612733364
209,SVR_0.0005_0.001_0.1_0.0001,0.0005,0.001,0.1,0.0001,9544311.612733364
210,SVR_0.0005_0.001_0.1_0.001,0.0005,0.001,0.1,0.001,9544311.612733364
211,SVR_0.0005_0.001_0.1_0.01,0.0005,0.001,0.1,0.01,9544311.612733364
212,SVR_0.0005_0.001_0.1_0.1,0.0005,0.001,0.1,0.1,9544311.612733364
213,SVR_0.0005_0.001_0.1_1.0,0.0005,0.001,0.1,1.0,9544311.612733364
214,SVR_0.0005_0.001_0.1_10.0,0.0005,0.001,0.1,10.0,9544311.612733364
215,SVR_0.0005_0.001_0.1_100.0,0.0005,0.001,0.1,100.0,9544311.612733375
216,SVR_0.0005_0.001_1.0_1e-05,0.0005,0.001,1.0,1e-05,9544311.612733364
217,SVR_0.0005_0.001_1.0_0.0001,0.0005,0.001,1.0,0.0001,9544311.612733364
